+-----+--------------------------------------+---------+-------------------------------------------------------------+----------------------------------+-----------+------------+------------+---------------+----------------+------------------+
| id  | guid                                 | code    | name                                                        | shortName                        | serviceId | categoryId | reportCode | debitTranCode | creditTranCode | accountNumber    |
+-----+--------------------------------------+---------+-------------------------------------------------------------+----------------------------------+-----------+------------+------------+---------------+----------------+------------------+
|   1 | 66d72622-cf48-49bd-b327-dca435f56823 | G0242   | 1PINOY                                                      | 1PINOY                           | 7334      |       NULL | 07334      | NULL          | NULL           | 000370012021     |
|   2 | NULL                                 | G0544   | 8 FORBESTOWN ROAD CONDOMINIUM ASSOCIATION INC               | 8FORBES                          | 7700      |       NULL | 07700      | NULL          | NULL           | 001240034079     |
|   3 | 99020fb7-ffb6-46fd-bd39-5bcac420d672 | G0584   | ABOITIZ FOUNDATION INC - THE CARE PACKAGE PHP               | ABOITIZFO                        | 7740      |       NULL | 07740      | NULL          | NULL           | 000260001442     |
|   4 | c80626d5-99ce-4452-aee8-46413f76d902 | G0091   | ABOITIZLAND LOCATORS - PHP                                  | AboitizlandLocators              | 7536      |       NULL | 07536      | NULL          | NULL           | 000260040368     |
|   5 | 4544d3db-5d29-4301-a3ba-5535905b9904 | G0091   | ABOITIZLAND TENANTS                                         | AboitizlandLocators              | 7537      |       NULL | 07537      | NULL          | NULL           | 000260040368     |
|   6 | 51676677-aaf9-405d-ac98-047a1aece2e5 | G0091   | ABOITIZLAND VECINO                                          | AboitizlandVecino                | 7538      |       NULL | 07538      | NULL          | NULL           | 000260040368     |
|   7 | b0eebf38-8e0c-40d4-8265-8ea01a4a2cb7 | G0440   | ABRA                                                        | PLUTUS                           | 7613      |       NULL | 07613      | NULL          | NULL           | 000970020090     |
|   8 | 49b0d63f-0835-44e0-bd03-4e5f23a6c993 | G0267   | ACTIMED INC.                                                | ActimedInc                       | 7517      |       NULL | 07517      | NULL          | NULL           | 001260011826     |
|   9 | 3bf74568-5528-42ef-b485-00214d56a729 | G0082   | ADVENTIST MEDICAL CENTER AND COLLEGE MANILA INC             | ADVENTIST                        | 7669      |       NULL | 07669      | NULL          | NULL           | 000860004582     |
|  10 | e75d7624-2586-4e0a-9450-6f74eae0e276 | G0333   | AGILITY HOLDING CO. INC.                                    | AgilityHoldingcOInc              | 7485      |       NULL | 07485      | NULL          | NULL           | 001720002888     |
|  11 | b5883ee5-de66-46db-8af3-04463420f84f | G0335   | AGILITY INTERNATIONAL LOGISTICS INC.                        | AgilityIntInc                    | 7486      |       NULL | 07486      | NULL          | NULL           | 001720002890     |
